Substance,ISO,Country,geo,Subnational desc,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
GWP_100_AR5_GHG,ABW,Aruba,,,220.32,246.86,272.00,273.56,309.07,338.72,229.58,368.72,377.76,382.74,348.03,351.09,376.49,426.81,441.16,478.27,487.74,522.83,515.30,550.74,528.91,340.92,405.71,440.54,469.92,491.52,515.07,496.69,494.97,540.01,519.08,538.33,567.49,569.50,588.72
GWP_100_AR5_GHG,AFG,Afghanistan,,,12931.55,13013.96,12065.81,12186.09,12247.31,12463.46,13735.24,14797.40,15647.83,16508.48,14364.94,12628.45,15228.57,15857.56,15993.34,16144.91,16338.50,17511.65,20859.99,23862.50,27768.53,31898.81,29759.35,28131.94,28354.54,28093.08,27164.74,30474.59,31935.81,32436.17,32400.17,32835.85,31912.14,32435.11,33034.84
GWP_100_AR5_GHG,AGO,Angola,,,34084.53,33399.06,32661.43,36630.46,47405.67,54625.32,65542.52,67282.01,73101.05,73837.69,68933.00,67211.38,64921.62,65375.93,70639.25,68698.81,61220.94,59728.51,63036.15,64538.42,71664.96,70561.94,72492.01,77026.25,78997.62,83536.86,80625.51,75433.64,70465.12,71208.75,63159.22,66601.92,68035.24,68280.79,69922.94
GWP_100_AR5_GHG,AIA,Anguilla,,,7.97,9.53,9.90,12.03,15.34,18.77,18.62,15.91,14.77,14.08,17.89,18.44,13.28,16.66,16.07,16.33,15.51,15.06,18.10,23.19,27.19,29.27,29.32,31.31,31.29,31.42,31.81,32.56,31.68,31.04,26.12,25.31,25.16,25.16,26.04
GWP_100_AR5_GHG,AIR,International aviation,,,264256.68,257138.94,265696.54,270898.59,284816.88,295649.07,307733.57,322567.85,333351.50,347522.94,360037.45,353823.79,374406.67,372288.41,408435.38,434717.50,450182.98,465329.76,472535.15,449629.62,475334.23,488254.15,490417.29,498900.38,513857.06,543596.04,567905.93,597733.37,623932.40,633217.05,299636.33,330748.41,477751.48,578330.74,622334.16
GWP_100_AR5_GHG,ALB,Albania,AL01,Veri,3733.81,2905.30,1962.40,1949.50,2175.39,2065.74,2018.56,1775.57,1840.85,2329.13,2389.53,2471.20,2649.83,2753.28,2814.77,2659.96,2745.25,2764.57,2683.65,2860.59,3113.84,3320.02,3155.24,3199.04,3291.51,3278.55,3061.41,3528.93,3538.80,3253.36,3181.14,3424.99,2955.03,2785.22,2740.31
GWP_100_AR5_GHG,ALB,Albania,AL02,Qender,3553.82,2798.96,1677.46,1695.31,1794.59,1680.41,1626.13,1407.56,1506.63,1759.68,1804.73,1874.71,1960.07,2086.23,2135.60,2012.62,2009.93,1986.73,1897.75,1899.48,2003.33,2101.80,1992.51,1992.83,2209.20,2095.30,2029.00,2315.99,2452.79,2246.56,2131.00,2396.53,2141.95,2143.21,2116.71
GWP_100_AR5_GHG,ALB,Albania,AL03,Jug,4210.73,3348.33,2531.49,2564.53,2937.28,2803.26,2637.70,2346.10,2441.41,2852.01,2940.04,2969.91,3271.21,3273.56,3336.75,3194.56,3153.69,3117.80,3042.96,2973.48,2927.66,3018.74,2971.76,3143.97,3309.77,3284.30,3176.69,3238.53,3105.31,3051.22,2579.76,2563.06,2491.52,2227.39,2164.45
GWP_100_AR5_GHG,ALB,Albania,,,,,,,,,,,,57.71,63.39,69.55,125.81,82.12,116.14,125.75,128.83,123.69,155.71,29.61,26.65,64.05,57.65,101.87,108.28,105.20,108.30,111.21,94.16,115.11,105.30,111.71,109.11,105.43,102.84
GWP_100_AR5_GHG,ANT,Curaçao,,,2844.07,2946.71,3080.62,2557.67,2865.96,2872.72,2902.72,5523.73,5712.97,5663.81,5886.14,5885.34,5625.43,5636.37,5855.19,6138.08,5996.12,6483.45,6416.04,6084.24,4440.39,5713.51,5800.31,5330.19,5871.38,5936.95,5161.73,4161.30,3368.96,2610.51,2193.63,2333.74,2410.18,2404.46,2492.67
GWP_100_AR5_GHG,ARE,United Arab Emirates,,,79503.67,87887.22,87420.94,94052.92,98940.66,103984.52,109083.86,110869.29,111937.19,114688.56,117226.02,129743.47,131314.42,139410.55,146051.81,155519.23,162324.98,172835.81,200391.42,201499.31,209693.26,217382.00,226717.27,238577.45,242049.74,254207.26,262189.46,254267.21,238779.50,251893.83,249749.04,255352.46,255592.73,254307.32,264148.37
GWP_100_AR5_GHG,ARG,Argentina,,,253065.22,256909.85,258914.68,260777.43,266299.32,269119.83,276373.82,281285.69,285170.67,291770.16,288445.33,285500.70,284541.34,305899.50,324653.30,329384.57,342681.53,354363.06,357015.90,333452.15,337310.51,343825.50,351325.16,360023.68,359812.71,366040.81,369182.72,372696.43,372510.51,369602.00,354158.27,371318.18,383535.36,377674.54,374344.61
GWP_100_AR5_GHG,ARM,Armenia,,,24306.83,24869.46,14019.90,7678.56,5280.92,5960.36,5001.17,5702.82,5726.64,5352.76,5862.48,5998.38,5547.19,5993.97,6477.90,7220.03,7189.26,8134.38,8611.37,7339.60,7071.44,7698.04,8567.64,8611.07,8968.50,8896.53,8731.31,8935.33,9079.55,9560.28,10281.78,10908.03,11221.55,10725.98,10780.58
GWP_100_AR5_GHG,ASM,American Samoa,,,7.34,7.42,7.50,7.58,7.66,7.74,7.80,7.87,7.94,8.01,8.07,8.79,8.84,8.89,8.87,8.86,8.84,8.83,8.76,8.73,8.72,8.72,8.71,8.73,8.75,8.77,8.78,8.79,8.78,8.79,8.83,8.86,8.86,8.87,8.88
GWP_100_AR5_GHG,ATG,Antigua and Barbuda,,,246.62,248.26,249.96,247.08,263.75,272.79,271.29,283.12,288.70,292.23,225.42,222.88,240.70,255.09,258.76,265.19,288.70,307.00,322.74,357.37,347.39,279.68,293.99,327.37,347.75,359.30,384.16,346.13,355.69,409.91,393.10,399.07,411.20,415.08,426.85
GWP_100_AR5_GHG,AUS,Australia,,,460699.91,463507.68,465523.61,470059.82,474146.06,482243.94,495314.32,508107.91,529156.86,535808.51,545708.16,555246.99,564952.29,553808.64,575645.82,577228.30,584428.84,592235.31,590422.72,597631.73,598752.54,610735.00,614851.06,604924.97,597200.25,600750.16,595968.12,612942.52,608065.61,605153.98,579547.45,576189.06,571780.76,587513.10,591453.96
GWP_100_AR5_GHG,AUT,Austria,AT11,Burgenland,2037.88,2185.52,2147.43,2158.02,2166.93,2230.54,2377.19,2271.10,2351.38,2314.34,2263.96,2409.18,2502.61,2615.08,2684.26,2716.89,2651.93,2603.16,2532.72,2403.77,2541.63,2463.67,2410.66,2475.03,2401.49,2449.01,2488.04,2540.24,2496.43,2499.04,2318.40,2417.13,2240.56,2153.61,2126.02
GWP_100_AR5_GHG,AUT,Austria,AT12,Niederösterreich,21822.04,23011.83,21395.43,21731.93,22064.98,22608.51,23223.83,23039.84,22931.53,21972.28,21959.04,23237.51,23906.66,25873.83,26468.27,26923.61,26458.54,26212.01,25685.69,22812.58,24655.56,24498.92,23311.94,23443.62,22320.03,22626.54,21276.45,22026.67,21549.21,22225.75,19161.24,19938.08,19594.07,18776.65,18616.64
GWP_100_AR5_GHG,AUT,Austria,AT13,Wien,4645.52,5015.49,4707.66,4641.35,4566.99,4755.19,5241.86,4782.19,4720.47,4739.66,4299.94,5386.69,5409.00,5503.38,5408.97,5604.09,5295.64,4831.97,4800.91,5910.22,6206.56,5646.76,4977.51,4646.81,4189.43,4618.24,4835.76,5285.37,4873.85,5004.03,4586.47,5192.91,4793.13,4159.53,4107.01
GWP_100_AR5_GHG,AUT,Austria,AT21,Kärnten,5111.61,5421.46,5348.24,5330.50,5254.31,5289.12,6059.93,6009.75,6012.99,5897.14,6001.09,6467.38,6703.29,7077.46,7187.16,7115.35,6984.67,6951.87,6706.36,6314.02,6585.48,6518.11,5697.59,5855.13,5710.12,5776.73,5863.56,5989.42,5985.79,5947.54,5579.36,5791.45,5434.76,5110.90,5051.06
GWP_100_AR5_GHG,AUT,Austria,AT22,Steiermark,17067.70,18040.02,16160.97,16219.87,16362.74,16826.94,17441.07,17737.06,17622.70,17136.33,16934.05,17680.65,17366.69,18367.39,18381.22,18379.33,17864.74,16327.57,16230.04,14585.72,15565.89,15453.53,15655.88,15925.78,15020.69,15331.73,15857.24,16477.95,15766.31,15796.66,15286.82,15014.86,14284.85,13360.58,13265.15
GWP_100_AR5_GHG,AUT,Austria,AT31,Oberösterreich,19511.73,20093.78,18743.30,18423.34,18653.81,19979.63,20731.40,20817.80,20816.98,20520.51,21417.77,21713.25,22478.39,23258.15,23154.94,22983.10,22316.10,22003.70,22688.24,19724.48,21941.32,21555.53,20960.32,20961.58,20411.65,20406.00,21115.48,21057.37,19828.28,20373.70,19565.45,20724.02,19526.95,18413.86,18328.86
GWP_100_AR5_GHG,AUT,Austria,AT32,Salzburg,3852.66,4094.36,3992.44,3980.88,3927.58,3976.13,4192.61,4161.08,4230.57,4117.71,4095.23,4551.80,4682.54,4847.38,4897.47,4924.04,4813.21,4696.85,4673.65,4365.23,4480.57,4324.50,4220.39,4276.59,4124.07,4245.03,4347.27,4424.84,4381.26,4366.86,4091.66,4287.09,4000.15,3738.47,3696.71
GWP_100_AR5_GHG,AUT,Austria,AT33,Tirol,4198.05,4489.47,4416.51,4411.42,4354.91,4485.45,4757.86,4535.54,4708.39,4655.34,4574.42,4869.63,5003.75,5206.34,5292.09,5310.13,5178.23,5033.10,4966.22,4689.61,4852.13,4671.91,4594.50,4718.96,4541.53,4654.50,4734.44,4817.93,4730.43,4736.67,4426.21,4637.84,4276.13,4048.48,3996.66
GWP_100_AR5_GHG,AUT,Austria,AT34,Vorarlberg,1836.84,1974.07,1940.73,1941.45,1919.25,2002.40,2115.90,1996.12,2067.92,2049.20,1989.48,2119.51,2166.56,2260.69,2300.67,2309.68,2256.89,2174.77,2147.58,2026.34,2128.74,2030.89,1994.02,2029.42,1940.62,1990.58,2018.23,2074.63,2007.18,2016.87,1882.23,1987.66,1808.23,1711.05,1687.95
GWP_100_AR5_GHG,AUT,Austria,,,93.44,99.64,105.92,118.32,124.51,124.68,137.08,140.17,155.67,155.66,146.46,140.26,143.37,143.45,159.22,160.49,168.60,169.83,166.19,165.03,163.16,166.13,154.63,157.40,161.01,163.36,164.29,163.25,173.86,167.10,74.81,87.05,120.39,123.22,123.86
GWP_100_AR5_GHG,AZE,Azerbaijan,,,67673.39,65863.29,55329.24,49015.30,43498.25,42671.11,37268.98,36555.21,36984.58,37961.57,39687.77,39027.72,38874.52,41690.14,41665.37,44539.42,46218.15,46628.33,51141.85,45504.92,44485.03,46923.79,50028.60,51262.50,53094.15,52971.49,52698.74,52425.94,53136.46,55943.30,54333.82,56596.09,59236.26,60991.82,58279.79
GWP_100_AR5_GHG,BDI,Burundi,,,3046.47,3179.52,3134.02,3187.55,3162.48,3286.27,3393.11,3445.78,3426.35,2986.34,3051.81,3034.13,3002.96,3043.64,3195.37,3310.23,3514.88,3786.31,3771.34,4009.71,4363.10,4633.92,4631.06,5750.50,5703.84,5691.15,6025.87,6713.54,7017.28,6757.39,6761.68,7904.72,7709.86,8187.16,8421.72
GWP_100_AR5_GHG,BEL,Belgium,BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,3494.40,3811.06,3828.70,3746.02,3704.30,3821.19,4265.30,4069.63,4123.57,3985.68,3849.98,4026.80,3842.82,4075.95,4046.92,3962.90,3764.96,3510.03,3981.05,3749.34,3978.88,3402.52,3475.40,3733.13,3169.69,3499.85,3486.38,3431.35,3447.96,3366.59,3248.66,3416.17,2962.39,2917.94,2888.55
GWP_100_AR5_GHG,BEL,Belgium,BE21,Prov. Antwerpen,21531.20,23303.85,22978.54,20468.20,20592.55,20326.39,21717.50,21374.92,20926.34,20317.97,20312.74,20512.96,19825.16,20306.21,20116.81,20959.09,20707.77,20367.31,21294.79,20817.96,21302.88,17996.09,18373.75,18039.55,17210.48,17969.42,17969.86,18388.43,18613.00,18940.60,17372.63,17684.18,16293.98,15882.08,15846.64
GWP_100_AR5_GHG,BEL,Belgium,BE22,Prov. Limburg (BE),9395.71,9742.35,9707.28,9350.38,9663.26,9752.27,10045.69,9607.65,9587.83,8857.38,8954.33,9128.76,8832.04,9036.06,8771.42,8662.77,8271.64,8340.51,8490.48,8027.89,8229.15,8957.65,8928.40,9285.28,10442.66,10890.18,9404.28,7043.70,7034.81,6991.24,6532.97,6746.66,6332.46,6026.82,6029.53
GWP_100_AR5_GHG,BEL,Belgium,BE23,Prov. Oost-Vlaanderen,23540.10,23662.67,22992.25,22824.48,24229.72,24058.71,24496.68,23687.17,26253.36,25246.50,25939.06,24707.84,22578.22,23395.37,22585.69,21584.08,21229.83,21110.45,21300.87,19906.20,22901.86,20980.56,20615.07,21091.26,19159.87,19738.70,21110.46,21329.52,21312.02,21032.10,19282.13,20036.82,19028.48,17966.50,18406.43
