region_name,Country,EU Region,geo,GDP per Capita,GDP per Capita (PPS),Unemployment %,Employment in Hi-tech Sectors %,Life Expectancy,Doctors per 100K,Heart Disease Deaths per 100K,Cancer Deaths per 100K,Fatal Road Accidents per Million,Tertiary Educational Attainment %,Population Density,People at Risk of Poverty %,Regular Internet Users %,Land Covered by Buildings and Roads %,Land Covered by Crops %
Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,BE,Western Europe,BE10,82300.00,190.00,10.60,7.00,82.10,518.68,49.84,211.03,5.00,53.80,7770.20,38.90,91.10,37.00,2.50
Prov. Antwerpen,BE,Western Europe,BE21,60400.00,140.00,3.60,6.10,83.30,294.48,44.22,204.50,36.00,46.10,686.30,15.20,90.81,17.60,23.50
Prov. Limburg (BE),BE,Western Europe,BE22,41300.00,96.00,3.20,4.10,83.20,281.87,42.19,202.63,36.00,42.20,377.00,11.70,91.27,12.60,26.50
Prov. Oost-Vlaanderen,BE,Western Europe,BE23,48200.00,111.00,2.90,5.90,82.70,315.01,44.26,216.72,44.00,46.80,528.30,11.50,91.56,17.30,26.40
Prov. Vlaams-Brabant,BE,Western Europe,BE24,55700.00,129.00,4.20,7.20,83.80,289.13,43.10,200.59,28.00,50.00,564.30,11.00,94.14,14.60,30.30
Prov. West-Vlaanderen,BE,Western Europe,BE25,51300.00,119.00,2.80,2.80,83.10,279.23,44.12,206.51,52.00,40.00,389.00,10.80,87.83,16.70,33.40
Prov. Brabant Wallon,BE,Western Europe,BE31,68200.00,158.00,5.70,8.80,83.20,374.08,46.38,203.32,48.00,62.00,378.00,21.30,90.49,12.80,40.00
Prov. Hainaut,BE,Western Europe,BE32,31300.00,72.00,9.30,4.50,79.80,338.42,69.67,252.86,72.00,34.30,358.60,27.70,85.54,12.80,37.70
Prov. Liège,BE,Western Europe,BE33,37500.00,87.00,9.10,4.20,80.80,388.82,58.85,241.38,51.00,38.60,293.00,22.80,87.96,11.00,17.90
Prov. Luxembourg (BE),BE,Western Europe,BE34,31700.00,73.00,6.50,3.90,80.70,259.58,55.75,245.96,64.00,40.40,66.80,20.60,86.27,4.00,9.80
Prov. Namur,BE,Western Europe,BE35,34800.00,80.00,6.60,6.70,80.80,366.89,66.18,235.12,59.00,44.10,138.50,20.00,86.50,6.00,25.80
Северозападен (Severozapaden),BG,Central and Eastern Europe,BG31,9800.00,42.00,7.80,2.10,73.90,500.03,183.28,245.18,166.00,21.00,35.40,37.00,70.51,2.70,40.50
Северен централен (Severen tsentralen),BG,Central and Eastern Europe,BG32,10100.00,43.00,6.00,3.10,75.10,368.63,176.85,222.80,107.00,26.40,46.60,38.20,74.49,2.30,45.10
Североизточен (Severoiztochen),BG,Central and Eastern Europe,BG33,11500.00,50.00,4.50,2.10,75.50,438.54,191.40,240.54,84.00,30.30,56.70,28.60,75.53,2.30,49.70
Югоизточен (Yugoiztochen),BG,Central and Eastern Europe,BG34,12500.00,54.00,4.60,1.30,75.00,382.30,251.51,214.30,93.00,22.90,48.50,32.80,73.37,2.30,33.60
Югозападен (Yugozapaden),BG,Central and Eastern Europe,BG41,23500.00,101.00,3.50,10.20,76.80,486.75,112.84,198.55,48.00,41.80,99.80,20.30,83.96,2.60,9.00
Южен централен (Yuzhen tsentralen),BG,Central and Eastern Europe,BG42,9500.00,41.00,3.10,3.60,76.10,442.81,350.84,236.04,67.00,24.90,58.90,35.80,72.98,2.10,19.50
Praha,CZ,Central and Eastern Europe,CZ01,63500.00,197.00,2.10,12.70,81.40,732.15,222.10,242.04,17.00,53.20,2826.90,10.20,92.38,31.00,19.20
Střední Čechy,CZ,Central and Eastern Europe,CZ02,26400.00,82.00,1.70,5.50,79.80,275.48,237.02,262.99,56.00,25.10,135.10,10.20,83.36,5.30,42.00
Jihozápad,CZ,Central and Eastern Europe,CZ03,24600.00,77.00,1.90,3.80,80.00,393.18,165.90,259.88,68.00,24.10,73.70,10.00,85.67,3.20,23.10
Severozápad,CZ,Central and Eastern Europe,CZ04,20000.00,62.00,4.10,2.20,78.00,335.60,253.66,289.30,42.00,16.70,130.50,15.80,86.27,5.00,19.00
Severovýchod,CZ,Central and Eastern Europe,CZ05,23800.00,74.00,2.80,4.20,80.20,376.37,215.35,245.20,64.00,21.20,125.30,10.30,77.43,4.30,27.90
Jihovýchod,CZ,Central and Eastern Europe,CZ06,27500.00,85.00,2.20,5.80,80.50,435.18,217.01,242.60,49.00,28.20,126.80,11.90,83.19,4.40,41.80
Střední Morava,CZ,Central and Eastern Europe,CZ07,23700.00,74.00,2.50,3.40,79.80,412.62,199.75,246.68,32.00,22.30,133.00,11.50,84.76,5.20,30.10
Moravskoslezsko,CZ,Central and Eastern Europe,CZ08,22600.00,70.00,3.90,4.10,78.50,400.78,232.06,261.72,34.00,22.00,223.80,17.60,87.02,6.90,21.90
Hovedstaden,DK,Northern Europe,DK01,85000.00,170.00,5.20,11.10,81.90,578.71,46.99,251.25,17.00,55.10,780.90,17.90,96.34,16.30,22.40
Sjælland,DK,Northern Europe,DK02,44600.00,89.00,4.60,5.90,81.10,228.21,63.77,278.50,42.00,33.10,120.30,16.70,94.48,6.60,48.60
Syddanmark,DK,Northern Europe,DK03,54500.00,109.00,5.20,2.30,81.50,419.42,59.34,269.78,24.00,35.10,103.20,16.70,94.99,6.60,46.60
Midtjylland,DK,Northern Europe,DK04,54600.00,109.00,5.40,4.40,82.00,456.37,58.69,260.49,38.00,41.20,106.70,18.70,96.17,6.00,45.20
Nordjylland,DK,Northern Europe,DK05,50000.00,100.00,4.70,3.70,81.40,337.27,60.25,271.38,20.00,35.10,76.90,20.70,90.81,6.20,45.00
Stuttgart,DE,Western Europe,DE11,67300.00,156.00,2.90,6.60,82.30,,111.21,201.67,25.00,37.00,393.80,17.10,,11.70,30.40
Karlsruhe,DE,Western Europe,DE12,54100.00,126.00,2.90,8.80,81.70,,122.70,217.80,33.00,37.00,413.70,20.50,,16.50,20.50
Freiburg,DE,Western Europe,DE13,45900.00,107.00,2.20,6.50,82.00,,100.64,207.77,33.00,34.00,249.70,19.40,,7.20,18.20
Tübingen,DE,Western Europe,DE14,53500.00,124.00,2.10,6.70,82.50,,108.31,201.01,49.00,37.30,218.20,15.70,,7.40,22.10
Oberbayern,DE,Western Europe,DE21,74700.00,174.00,2.30,9.30,82.40,,101.17,207.05,30.00,42.60,274.40,14.90,,7.70,20.40
Niederbayern,DE,Western Europe,DE22,49900.00,116.00,,3.80,80.90,,116.81,226.87,54.00,26.00,121.70,17.30,,7.00,29.10
Oberpfalz,DE,Western Europe,DE23,54200.00,126.00,2.10,4.90,80.70,,128.07,231.65,51.00,31.40,115.30,12.90,,5.90,24.00
Oberfranken,DE,Western Europe,DE24,47900.00,111.00,2.50,3.80,80.60,,159.03,233.62,30.00,26.30,146.00,18.10,,7.20,24.20
Mittelfranken,DE,Western Europe,DE25,55500.00,129.00,2.40,6.90,81.10,,127.02,225.46,32.00,36.00,247.70,19.60,,8.60,29.70
Unterfranken,DE,Western Europe,DE26,50800.00,118.00,2.10,4.50,81.50,,129.95,211.87,41.00,32.30,154.50,15.70,,7.80,29.10
Schwaben,DE,Western Europe,DE27,48100.00,112.00,1.80,4.60,81.80,,112.43,213.81,45.00,31.20,193.40,16.00,,6.80,21.40
Berlin,DE,Western Europe,DE30,54700.00,127.00,5.20,9.80,80.90,,123.57,241.14,9.00,45.10,4311.60,21.50,,36.10,3.10
Brandenburg,DE,Western Europe,DE40,37500.00,87.00,3.30,4.00,80.50,,144.04,244.97,42.00,30.40,87.90,20.00,,3.90,26.00
Bremen,DE,Western Europe,DE50,58000.00,135.00,4.70,5.10,79.40,,132.89,249.12,17.00,29.90,1788.30,32.30,,42.40,3.10
