,region_name,Country,EU Region,GDP,GDP per Capita,Unemployment %,Life Expectancy,Doctors per 100000,Fatal Road Accidents per Million,Tertiary Educational Attainment %,Population Density,People at Risk of Poverty %,Regular Internet Users %,pc_1,pc_2
0,Abruzzo,IT,Southern Europe,30.89,24000.00,9.30,82.90,435.45,46.00,21.20,120.50,25.00,78.00,-4335.75,-165.89
1,Alentejo,PT,Southern Europe,12.44,17700.00,6.60,80.20,310.06,135.00,21.40,22.70,22.00,70.00,-10636.79,-181.52
2,Algarve,PT,Southern Europe,8.71,19900.00,8.30,80.30,419.03,75.00,24.40,88.90,23.20,76.00,-8435.88,-141.58
3,Alsace,FR,Western Europe,59.58,31000.00,7.10,81.80,362.21,30.00,39.00,230.60,15.00,75.00,2665.04,-155.10
4,Andalucía,ES,Southern Europe,150.56,17700.00,21.70,81.70,371.83,30.00,32.50,97.40,37.70,84.00,-10635.27,-103.59
5,Aquitaine,FR,Western Europe,103.98,29600.00,7.40,83.50,363.49,47.00,36.00,83.90,16.68,81.00,1263.24,-282.25
6,Aragón,ES,Southern Europe,35.29,26500.00,10.20,82.30,502.84,51.00,39.70,27.90,21.10,85.00,-1837.15,-290.62
7,Arnsberg,DE,Western Europe,125.49,35100.00,4.30,80.20,320.57,21.00,25.50,449.10,18.50,87.00,6767.72,5.30
8,Auvergne,FR,Western Europe,37.18,27000.00,7.00,82.10,311.28,52.00,31.20,52.60,17.14,68.00,-1337.17,-279.65
9,"Aνατολική Μακεδονία, Θράκη (Anatoliki Makedonia, Thraki)",EL,Southern Europe,6.49,10900.00,18.50,80.00,510.88,47.00,24.40,42.80,35.20,78.00,-17435.46,-59.73
10,Aττική (Attiki),EL,Southern Europe,78.18,20900.00,11.90,81.10,813.51,40.00,41.00,987.50,24.80,79.60,-7422.78,756.90
11,Basilicata,IT,Southern Europe,11.64,21200.00,8.30,82.80,351.49,33.00,17.60,55.70,34.70,74.00,-7136.54,-194.85
12,Basse-Normandie ,FR,Western Europe,38.75,26400.00,6.40,82.10,303.75,55.00,32.60,82.60,17.62,79.00,-1936.71,-241.64
13,Berlin,DE,Western Europe,155.17,42300.00,5.70,80.90,458.03,14.00,42.90,4322.90,19.30,90.40,14020.66,3781.64
14,Bourgogne,FR,Western Europe,45.36,27900.00,7.10,81.70,295.55,62.00,35.00,51.30,19.02,77.00,-437.29,-293.97
15,Brandenburg,DE,Western Europe,74.92,29700.00,3.00,80.60,408.93,56.00,29.20,86.70,17.00,84.80,1363.27,-279.38
16,Bratislavský kraj,SK,Central and Eastern Europe,26.19,38900.00,2.60,78.80,648.52,36.00,45.60,328.80,7.90,90.00,10566.00,-156.25
17,Braunschweig,DE,Western Europe,75.52,47400.00,3.80,80.80,362.06,40.00,32.00,197.30,18.10,90.80,19062.98,-415.22
18,Bremen,DE,Western Europe,31.93,46900.00,6.90,80.00,349.34,21.00,30.80,1744.50,26.50,88.40,18584.24,1137.29
19,Bretagne,FR,Western Europe,99.65,29400.00,5.80,82.60,325.67,41.00,38.10,122.40,16.60,80.00,1063.73,-242.32
20,Bucureşti-Ilfov,RO,Central and Eastern Europe,60.31,26000.00,3.50,75.50,617.92,46.00,40.50,1321.90,14.00,77.00,-2319.04,1013.49
21,Budapest,HU,Central and Eastern Europe,50.43,29000.00,2.90,77.90,570.91,19.00,49.80,3433.80,15.60,92.00,709.68,3080.81
22,Burgenland,AT,Western Europe,8.92,30200.00,5.10,81.80,434.45,61.00,33.10,77.80,19.50,78.00,1862.99,-294.50
23,Calabria,IT,Southern Europe,30.90,16500.00,18.00,82.50,388.11,32.00,16.00,126.50,39.80,72.00,-11835.00,-57.73
24,Campania,IT,Southern Europe,102.83,18100.00,19.30,81.20,390.99,31.00,16.30,422.20,49.70,74.00,-10230.93,215.96
25,Canarias,ES,Southern Europe,39.16,17400.00,23.20,83.40,394.47,22.00,34.40,299.40,35.00,84.00,-10932.66,102.93
26,Cantabria,ES,Southern Europe,12.87,22100.00,11.50,83.20,515.45,27.00,42.50,110.50,19.40,82.00,-6235.59,-146.69
27,Castilla y León,ES,Southern Europe,55.40,23200.00,11.40,82.40,465.79,52.00,39.00,25.60,16.70,83.00,-5136.87,-248.53
28,Castilla-La Mancha,ES,Southern Europe,39.57,19400.00,15.60,81.10,282.57,47.00,30.80,25.80,30.70,84.00,-8936.83,-202.25
29,Cataluña,ES,Southern Europe,212.93,27800.00,11.60,82.30,489.63,27.00,42.30,238.10,18.80,88.00,-534.00,-98.35
30,Centre — Val de Loire,FR,Western Europe,71.57,27800.00,7.20,82.40,260.16,43.00,31.90,65.40,18.16,76.00,-537.07,-279.57
31,Centro (PT),PT,Southern Europe,38.41,17300.00,5.80,81.50,500.38,66.00,26.20,79.20,20.40,72.00,-11035.55,-112.30
32,Centru,RO,Central and Eastern Europe,24.57,10600.00,5.10,74.40,321.08,85.00,17.10,68.20,24.40,72.00,-17735.38,-37.12
33,Champagne-Ardenne,FR,Western Europe,36.66,27800.00,8.90,81.00,289.95,56.00,24.80,51.50,18.16,76.00,-537.31,-292.59
34,Chemnitz,DE,Western Europe,41.28,29100.00,2.30,80.00,408.93,47.00,27.00,219.90,18.30,82.00,765.10,-138.03
35,Ciudad de Ceuta,ES,Southern Europe,1.64,19500.00,26.60,79.80,905.79,24.00,25.70,4222.90,45.90,88.00,-8778.10,4012.42
